number,year,type,Luminance,Contrast,Structure
13070,2007,Sci-Fi,157.4322222,64.97126426,77.0113935
13071,2015,Animation Children,153.0471091,51.58106103,93.58022339
13072,2003,,118.6015123,53.01276269,95.11313321
13073,2009,War,92.45636831,72.75725742,109.9054642
13074,2010,Crime,101.1799794,50.99281312,88.30627923
13075,2002,Comedy Ancient Costume,145.2677469,58.72471428,78.03231622
13078,2012,War,101.9488889,54.71223899,113.2218492
13079,2011,Suspense Revolution,58.46646091,56.62664188,89.63508068
13080,2013,Spy Warfare War Action,99.69461934,71.68692424,70.24832512
13081,2012,Comedy,146.6524691,87.77236718,101.3701178
13082,2013,Youth Idol,155.0450412,64.82252384,111.8594451
13083,2016,Ancient Costume,64.3629321,46.68274765,72.42191841
13084,2014,Animation Children,185.5531173,38.46394359,56.61286769
13085,2020,Crime,61.13478395,49.57781235,52.46562992
13086,2017,,51.11669753,44.88278439,68.20580851
13087,2016,Animation Children,163.7107305,64.93817522,109.2361903
13088,2023,Ancient Costume,113.3850103,72.47391987,115.2367322
13089,2021,Ancient Costume,167.4184568,47.12210778,65.6665093
13090,2024,Wuxia Ancient Costume,127.7610288,63.20195138,90.6496738
13092,2004,Romance Family,177.0924486,56.72789478,122.6205353
13094,2011,Historical Legend,67.36063786,57.99398828,70.02039479
13095,2008,Romance,93.86307613,71.87345022,131.5909759
13096,2011,Historical Legend Revolution,82.09675926,69.66100891,103.2086264
13097,2011,Suspense Historical Legend,61.32005144,67.73475141,83.92273768
13098,2020,Modern City Romance,124.2605453,57.39164067,68.69472362
13099,2006,Comedy,149.3310597,59.98123025,140.0328506
13100,2012,Modern City Family,193.4729938,60.10272628,91.19166354
13101,2011,Family,80.04100823,80.22871053,82.71057202
13102,2009,Comedy,150.3387551,65.91368115,126.0386534
13103,2010,War,60.92468107,43.11709719,72.61955646
13104,2006,Modern City,110.2851235,63.81134909,94.77225544
13105,2003,Inspiration,110.934249,64.04425254,94.9429122
13106,2002,Historical Legend Ancient Costume,155.8582613,84.39235981,128.8511315
13107,2015,Ancient Costume Comedy,152.9670576,65.85615533,106.7844024
13108,2017,Ancient Costume,58.94983539,48.58580668,70.0876503
13109,2014,Modern City,179.3310494,74.78907002,104.6927179
13110,2015,Modern City,101.4727263,66.06521467,78.39002979
13111,2023,,193.7045782,53.06543421,80.4616894
13112,2016,Modern City Family,139.6609053,68.93632696,93.43776302
13113,2015,Comedy,82.54673868,74.4809667,127.3728731
13114,2016,Action Suspense,38.29984568,43.94983462,68.37622994
13115,2020,Modern City,192.0030144,48.06467459,54.60612005
13116,2019,Myth and Fantasy,178.8852263,54.78485076,115.6484769
13117,2023,Rural,161.5134259,66.88465922,101.0303199
13118,2023,Wuxia Romance,175.3236626,41.11709886,78.56014616
13119,2010,Ancient Costume,128.6035391,74.48136135,73.89861443
13120,2010,Animation,157.8643827,64.96743394,121.6678556
13121,2007,Romance,71.29382716,62.66295844,110.109415
13122,2024,Modern City,188.0805453,50.90069736,83.02803333
13123,2009,Family Modern City Romance,168.8364815,64.62657525,92.8512125
13125,2016,Rural,59.66314815,33.11137969,61.81093671
13126,2001,Animation,154.4916358,78.52291776,75.75777705
13127,2021,Modern City,207.135607,52.04743618,107.185701
13128,2023,Modern City Comedy Youth Idol,155.547644,52.79691947,110.5150908
13129,2001,Wuxia Ancient Costume,153.0741255,70.56864438,117.0723974
13130,2012,Family Inspiration,115.2005453,64.87279733,110.4493517
13131,2015,Modern City,123.6912757,54.62729139,67.82682642
13132,2004,Historical Legend War,139.2799383,96.0785019,138.6555413
13134,2016,Modern City,169.5144033,48.01793966,92.87526541
13136,2000,Myth and Fantasy Ancient Costume,138.7896296,82.91863199,95.4561702
13137,2010,War Historical Legend,84.27302469,62.32819336,137.5578737
13139,2012,Animation,175.6918621,69.51251656,83.13631764
13140,2015,Myth and Fantasy Ancient Costume,117.6997428,63.10768036,132.9608116
13141,2015,Revolution War,105.9553704,73.0343238,113.3081752
13142,2015,Family Comedy,147.1036317,61.996129,85.55923022
13143,2003,Romance,199.3527263,57.33231694,69.43669693
13144,2000,Family,153.7265226,71.68287259,85.87914305
13145,2008,Comedy,164.961286,63.11143219,102.9975342
13146,2013,Youth Idol Modern City Romance,160.7863169,76.62642582,74.59628106
13147,2013,Family Modern City,179.5153807,51.9608848,75.70196909
13148,2012,Myth and Fantasy Children,124.2882202,58.63129199,72.44020048
13149,2015,Modern City,147.8666255,60.0526798,107.83189
13150,2000,Children,158.4829012,72.26643957,89.6589222
13151,2017,Modern City Romance,140.837037,89.13264152,82.03859798
13152,2019,Youth Idol,73.54707819,50.15494886,81.4104245
13153,2023,Modern City,184.5320782,54.43983786,78.40889392
13154,2022,Romance,137.1983745,59.10984708,105.264403
13155,2022,Romance,64.56941358,48.87860116,47.89253709
13156,2021,Romance,127.2197325,68.72172946,75.8924922
13157,2024,Modern City,78.02359053,56.64798557,97.83263903
13158,2023,Modern City,118.3914198,61.27337733,105.3996489
13159,2023,Suspense,55.22628601,41.16859218,66.43412483
13160,2022,Modern City,163.9820885,67.63405921,60.85674632
13161,2024,Romance Family,175.0804835,55.00455101,71.25075194
13162,2023,Youth Idol,122.1765947,67.11731604,101.533567
13163,2023,Romance Comedy,179.9422634,59.80385085,59.00695521
13164,2023,Comedy,141.7026852,51.05578033,144.327546
13165,2023,Romance Youth Idol,142.7537757,56.78931898,84.63515762
13166,2024,Crime Suspense,109.8934259,73.03807741,103.5382336
13167,2022,Romance Ancient Costume,161.7616564,55.48626895,59.38617109
13168,2016,War Revolution,127.3719856,57.06971579,83.10554316
13169,2010,War,90.25890947,58.38450932,145.1745173
13170,2001,Wuxia Ancient Costume,110.2515844,68.43656699,141.8777749
13171,2006,Documentary,117.0588992,60.91311256,127.7887751
13172,2024,Comedy,125.3283333,55.49636936,133.4119955
13173,2007,Historical Legend,61.43213992,62.35435461,87.42538205
13174,2009,Historical Legend,56.8587037,55.1984802,99.25856094
13177,2016,War,95.44454733,58.40506534,109.2303822
13178,2014,War Spy Warfare Revolution,94.28771605,68.66336305,92.38044875
13179,2015,Action,69.33512346,79.59345464,97.47226297
13180,2011,Military,140.3654527,60.52457978,60.29481211
13181,2013,Comedy Romance,165.817284,71.64662963,119.1582881
13182,2000,Family,123.8638786,74.70235864,112.0381838
13183,2018,Modern City Romance Youth Idol,145.9588272,73.02494636,93.58092534
13184,2012,Romance,25.08119342,56.89637151,47.22078334
13185,2019,Crime Suspense,54.95984568,52.67105724,87.97249508
13186,2014,Youth Idol,157.6389815,73.39417247,104.7513428
13187,2004,Youth Idol Romance,200.2647942,60.59999684,98.35792096
13188,2015,Modern City,202.4560597,74.29125396,97.90125715
13189,2012,War,107.4346091,70.438981,87.41844937
13190,2005,Comedy,157.2884568,82.2820607,95.85952774
13191,2020,Romance Comedy Modern City,121.1865947,66.19485676,100.2294798
13192,2017,Family,152.0871296,71.58452133,94.34923803
13193,2016,Modern City Romance Inspiration,154.9269547,66.78412426,90.50555367
13194,2006,Family,98.04993827,73.24901912,127.1833621
13195,2016,Revolution,76.20047325,61.13716343,116.1349871
13196,2018,Modern City,184.1762243,69.79459608,83.55130154
13197,2002,Animation,146.8276749,53.56487217,155.7888128
13198,2006,Family,176.8229938,87.3123753,84.21705383
13199,2011,Family Romance,109.7587346,74.9913672,90.61947849
13200,2005,Family,,,
13201,2005,War,66.03578189,54.07056199,85.96317496
13202,2007,Family,168.0741358,75.07773062,71.32307166
13203,2000,,,,
13204,2015,Rural,155.1595165,53.66198945,85.27437292
13205,2009,Military,104.638323,65.18632082,71.88180405
13206,2009,War,73.31994856,67.87271242,111.609383
13207,2005,Crime,120.3043313,97.78059437,99.54356651
13208,2011,Family,131.2515741,68.23315822,106.1403769
13209,2009,Historical Legend War,85.7658642,57.6073751,116.855375
13210,2001,Family,174.7857305,66.4808152,95.11682053
13211,2004,War Historical Legend,100.8999177,61.84823141,151.3391882
13212,2001,Comedy Family,,,
13213,2011,,172.2066564,64.265142,84.40209325
13214,2012,Comedy Modern City Romance,149.2088066,86.97492603,123.8326392
13215,2010,Family,222.3103498,53.846443,38.28122406
13216,2013,Modern City,153.0445782,82.61873834,120.9196997
13217,2014,Historical Legend Revolution Inspiration,182.6362037,56.16356466,60.47286203
13218,2016,Modern City Comedy,155.4860082,63.84309929,69.13318799
13219,2013,Modern City,61.88869342,67.63338891,97.91707963
13220,2015,Family Modern City,116.3577263,94.15930893,121.8173905
13221,2018,Modern City,94.58782922,48.98710318,38.87259111
13222,2015,Modern City Romance,93.18950617,76.92962775,112.9581234
13223,2015,Romance Youth Idol,176.6360597,51.03255765,63.05036982
13224,2003,Romance,90.06306584,81.22416141,83.27107695
13225,2015,Romance Modern City Inspiration,162.8865021,52.18391502,86.9197971
13226,2015,Modern City,135.0829012,69.45317604,103.3931332
13227,2017,War,87.78989712,53.99218005,129.0277034
13228,2016,Modern City,183.9578292,55.23731947,57.82708341
13229,2021,Modern City Romance,197.8445062,60.74819697,87.9186463
13230,2019,Modern City,80.12210905,68.43176813,71.72634923
13231,2017,Family Comedy,203.2091872,56.57453254,63.77072576
13232,2020,Revolution,88.85195473,37.5316782,57.5698924
13233,2019,Rural,144.3318519,60.69271264,154.0416982
13234,2022,Revolution,93.86124486,76.66999172,134.027087
13235,2023,Modern City,131.3321296,42.05741652,52.50441427
13236,2007,Historical Legend,117.4374691,68.81797559,92.88547308
13237,2021,Revolution,67.73893004,37.27930988,47.34594788
13238,2021,Revolution,98.52177984,79.49928034,83.89884601
13239,2022,Modern City,148.8825103,63.3916603,81.00783085
13240,2012,Historical Legend,123.132284,56.29238422,105.1549272
13241,2015,Romance Modern City,196.2611214,56.5248763,97.50693419
13242,2018,Youth Idol,143.3370782,57.04755092,78.61464081
13243,2005,Family Romance Modern City,187.7851955,59.83692913,78.85816296
13244,2012,Romance,63.4487037,60.19069134,76.2855576
13245,2019,Modern City Youth Idol,187.3595885,64.97093824,48.95841274
13246,2007,Family,87.85760288,71.07420267,88.33635608
13247,2002,Inspiration,124.5388786,67.73086834,65.16702381
13248,2012,Inspiration,126.6762551,60.74001183,97.5917017
13249,2004,Family,120.8562346,80.70679768,86.37140445
13250,2018,Myth and Fantasy Romance Ancient Costume,206.2134156,44.93212656,78.44686632
13251,2023,Romance,157.3486523,61.85703046,61.64226528
13252,2006,Suspense,53.19480453,49.64118063,70.34372353
13253,2010,Family War,92.24765432,78.46491906,99.63775931
13254,2011,Suspense,106.1065226,69.27674233,122.0470366
13256,2017,Modern City,155.34607,61.92073179,77.31324496
13257,2015,Romance,188.7594856,63.36896571,118.0690772
13258,2006,Suspense,55.70200617,31.62027297,65.26012304
13259,2020,Romance,66.03044239,56.75891121,120.876138
13260,2011,Suspense War,99.26669753,76.50204289,89.15918071
13261,2001,Romance,,,
13262,2005,Family,95.36048354,68.96005613,129.3598212
13263,2002,Romance,,,
13264,2017,Modern City Family,196.2682202,68.44996101,87.68357121
13265,2008,Family,72.06382716,72.96048299,115.4083618
13266,2023,Romance Ancient Costume,143.5141255,64.99691261,71.07517147
13267,2004,Romance Ancient Costume,,,
13268,2009,Family,185.7101646,69.1453551,75.46523059
13269,2014,Modern City Romance,112.107644,71.30196226,88.08285965
13270,2016,Romance Time Travel Youth Idol,150.0729424,60.03168546,91.66732191
13271,2015,Rural,168.6387551,73.2195938,114.4808016
13272,2014,Rural,90.67260288,65.2338855,108.7413305
13273,2018,Rural Comedy,145.17143,83.7399162,126.9102544
13274,2012,Romance Comedy Rural,142.0334259,61.35918725,110.4579731
13275,2015,Comedy Rural Romance,136.4408951,59.43430326,102.812443
13276,2011,Romance Comedy Rural,146.1285905,71.66507117,125.6568249
13277,2006,Comedy Rural,156.4296296,71.10584085,95.94563317
13278,2008,Comedy Rural,106.3443107,55.05145834,104.3819657
13279,2020,Comedy Romance,144.7563374,74.24621362,94.41478146
13280,2021,Rural Comedy,144.8968416,54.73877571,87.5636056
13281,2013,Comedy Rural,130.4740947,56.97839754,101.0088236
13282,2024,Rural Comedy,90.1665535,63.92202785,143.3033306
13283,2023,Rural,139.517284,58.74962034,120.7535642
13284,2022,Comedy Romance Family Rural,102.8949691,64.1828332,97.84013954
13285,2019,Comedy Romance,168.9580658,68.4656203,117.2569012
13286,2018,Rural,123.5951132,74.48749423,118.4040204
13287,2018,Myth and Fantasy,114.6014815,42.25955038,72.38476997
13288,2002,Crime,76.58337449,87.91410384,126.9674088
13289,2007,Romance,63.73638889,71.87008845,116.5142752
13290,2010,Crime,100.1827263,62.4650091,75.63787859
13291,2022,,145.8119136,47.04556055,93.847834
13292,2005,Comedy Ancient Costume,92.47033951,60.73779412,99.57018958
13293,2023,,181.2310597,75.95405515,111.8043968
13294,2016,Ancient Costume,89.29236626,69.64591941,130.2732557
13295,2006,Comedy Romance Family,89.40778807,84.24413374,92.73846277
13296,2010,Family,85.40478395,81.71842242,81.25728829
13297,2012,Crime Suspense,143.0697222,66.73717741,128.5954536
13298,2009,Suspense Crime,62.96177984,70.55398139,83.6114792
13299,2010,Suspense Crime,67.53146091,40.52302574,44.45036649
13300,2011,Suspense,62.36617284,62.34856396,72.79815241
13301,2013,Family Modern City,178.2331996,68.52229152,75.27869583
13302,2013,Crime Suspense,142.5027778,80.01015659,57.35694234
13303,2019,Rural,167.7419444,44.2070654,62.84129735
13304,2019,Crime,112.534856,70.11151126,67.24848666
13305,2022,Modern City,32.56173868,42.51139057,55.11583883
13306,2000,Comedy Family,173.9033025,82.34085649,103.7462337
13307,2007,Comedy Family,168.7303292,74.21427043,154.7747889
13308,2019,Suspense,130.4452366,67.63103152,123.9602768
13309,2017,Comedy,124.1259465,54.76998143,116.6976523
13310,2021,Rural,167.9106276,72.93996789,108.7756224
13311,2014,Family Rural Comedy,102.0927881,73.33629821,124.4144014
13312,2009,Romance,127.4694444,52.36451706,73.15989925
13313,2006,Comedy,95.69605967,59.06090945,137.0273373
13314,2011,Wuxia Suspense Ancient Costume,139.1733951,67.0515875,124.4907179
13315,2007,Suspense,154.8741152,77.92547786,99.09199799
13316,2014,Animation Historical Legend,93.74897119,64.31542072,112.0645417
13318,2015,Comedy Romance Sci-Fi,172.1960802,87.24368431,122.7871027
13319,2012,Revolution,78.01895062,74.76217651,77.99602381
13320,2011,Family Modern City,150.5903807,73.98578998,84.99278139
13321,2015,Wuxia Ancient Costume,89.66288066,63.40871807,107.0473492
13322,2006,,126.6434671,65.93442398,87.98947274
13323,2024,,206.5659259,39.89202422,60.86915839
13324,2009,Wuxia Myth and Fantasy Romance Ancient Costume,90.6000823,59.61745802,87.27038478
13325,2005,Romance Wuxia Myth and Fantasy Ancient Costume,98.81529835,64.37995808,124.3904627
13326,2024,Inspiration,150.3434259,66.47308338,129.7014295
13327,2015,Wuxia Ancient Costume,144.7095988,91.54118043,101.0844529
13328,2017,Modern City,153.9694239,56.75352866,93.20326778
13329,2005,Comedy Family,162.2635185,62.66103487,110.7350015
13331,2011,Family Romance Modern City Youth Idol,100.7583539,55.78247824,97.78627125
13332,2011,Romance,129.1281173,74.74676931,99.67663916
13333,2023,Modern City,165.7603601,65.29288596,65.37927837
13334,2004,Romance,176.5685905,79.4509292,90.40265964
13335,2010,Romance Family,95.09529835,71.54806453,94.11099219
13336,2011,Romance,83.29331276,75.28781658,94.61389082
13337,2011,Romance Inspiration,198.9440947,78.59758228,116.271566
13338,2014,Action,68.47210905,69.29778234,114.1685996
13339,2016,Family Modern City,180.8511008,83.52694853,104.9257938
13340,2019,Revolution,100.8692901,39.61091376,70.18127423
13341,2020,Romance,170.6836214,69.27958065,55.5240549
13342,2023,Modern City,71.80512346,57.88212058,68.61594017
13343,2014,Modern City Romance Family,120.5895885,53.76585974,80.39796941
13344,2018,Modern City,150.0094959,97.21908991,70.80995836
13345,2010,Family,97.47691358,78.473663,99.19702857
13346,2011,Family,113.6582613,51.89781681,84.68028805
13347,2016,Family,140.6035185,72.31574958,101.3811894
13348,2013,Family Romance,197.9895576,61.06381523,94.95408535
13349,2013,Romance Modern City,209.2009877,69.04602669,78.04753601
13350,2021,Revolution,101.5174794,76.80317305,91.92409871
13351,2008,Crime,60.01190329,62.62927874,86.86746565
13352,2016,Revolution War,72.64143004,71.2376897,82.16510222
13353,2004,Wuxia Ancient Costume,,,
13355,2020,Ancient Costume Suspense,131.408858,60.33404769,83.39966075
13356,2013,Comedy Action Suspense War,149.5809156,106.4935346,101.9064057
13357,2000,Action Ancient Costume,129.8483333,63.03873459,98.94752249
13358,2013,Animation,67.0837963,59.13538857,107.8440254
13359,2012,Animation,49.93994856,45.74315601,40.39402726
13360,2014,Animation,70.87710905,60.07105747,149.8380039
13361,2013,Animation,113.9391255,71.81994668,115.9198978
13362,2016,Animation,77.29475309,58.12835762,119.3825491
13363,2012,Animation,73.72623457,63.74952296,90.22130099
13364,2002,Wuxia Ancient Costume,117.3229115,56.1566064,97.42093897
13365,2017,Wuxia Ancient Costume,119.5304527,63.70257874,83.13456936
13366,2001,Romance,152.9648457,66.87242037,91.999481
13367,2006,Action Wuxia Ancient Costume,145.3617593,75.28205362,125.6916025
13368,2010,,66.94352881,62.84096091,121.5720918
13369,2018,Comedy Animation,149.9960082,93.01837668,152.7156078
13370,2013,Myth and Fantasy Ancient Costume,158.4514403,86.43258409,124.9840596
13372,2011,Comedy,125.4369856,61.31576976,125.38929
13373,2016,Animation Children,180.8706996,47.09197866,121.2426358
13374,2015,Animation Children,149.4465123,70.08469596,177.64506
13375,2014,Animation,180.7805658,67.44138369,190.090212
13376,2008,Animation Children,162.9031276,66.4911888,184.0720587
13377,2016,Animation Children,134.586358,62.37862297,100.4235694
13378,2014,Animation Children,165.4604012,65.79560832,174.0323295
13379,2010,Animation,180.5024383,60.17135608,146.7157709
13380,2016,Animation Children,160.0539712,63.48953228,151.8848476
13381,2017,Animation Children,166.5413169,47.57271606,87.93910118
13382,2011,Animation Children,164.5389403,63.0114155,143.1487079
13383,2016,Animation Children,105.7358951,75.35707216,132.4200156
13384,2015,Animation Children,170.4943313,48.69626604,110.2805605
13385,2013,Children Animation,181.4355864,48.06723458,134.4922339
13386,2012,Animation,180.1398765,67.30933201,135.2644074
13387,2013,Animation Comedy Children,139.9022634,73.39780426,196.9272921
13388,2012,Animation,205.9062654,47.1129698,84.81444718
13389,2005,Animation Children,161.3857202,68.31182804,150.5423264
13390,2011,Animation,150.6173971,71.09305604,159.7232643
13391,2017,Animation Children,182.0321914,58.83682677,150.7609966
13392,2005,Animation Children,149.7538272,62.8718464,111.5526386
13393,2009,War,90.69769547,58.41441042,90.69473707
13394,2019,Modern City,193.0969239,63.97298538,91.56888446
13395,2012,Comedy Modern City,209.448251,43.07806362,72.38951104
13396,2007,Comedy,154.3702366,86.36532793,145.5216718
13397,2009,Family Comedy,113.6834362,76.47092775,145.7155866
13398,2009,Family Comedy,190.6030864,69.72213465,86.32411981
13400,2024,Romance Comedy Ancient Costume,141.8218519,63.80817133,137.3469322
13401,2007,Comedy,146.4052058,88.28915624,112.6184089
13402,2006,Comedy,119.4884568,94.77181992,103.1537149
13403,2019,Comedy Romance,160.6701235,51.04735021,59.85230219
13404,2018,Romance,197.3445679,63.29440566,69.22998701
13405,2009,Rural Comedy,101.7145885,53.73711542,68.78293987
13406,2003,Suspense Ancient Costume,97.67316872,71.5405893,126.4701665
13408,2012,Modern City,151.3361317,72.31468425,89.34356837
13409,2007,Modern City Romance,116.6954527,77.45196632,117.9412046
13410,2007,Family Comedy,166.1715638,70.8107391,120.2890905
13411,2006,Family,100.5625823,67.00995836,75.51791128
13412,2008,Family Rural,101.497356,74.26861112,93.99409294
13413,2004,Family,200.9694342,60.73108337,98.16344379
13414,2000,Comedy Family,163.9363889,73.35584936,129.3204954
13415,2005,Comedy,146.6229321,34.59340447,37.18795154
13416,2002,Family,147.6444239,56.60756746,75.82269352
13417,2009,Family,203.9584979,67.24266161,123.2832049
13418,2009,Crime Suspense,60.32555556,39.39496899,65.46087619
13419,2003,Family Romance,109.3510494,94.47256605,140.3985235
13420,2004,Family,53.90322016,69.7085761,89.33436275
13421,2010,Family Ancient Costume,103.0205247,74.73492719,135.3081976
13422,2008,Family,184.3842387,72.30312644,88.09408115
13424,2009,Romance Family,79.91126543,72.55761934,121.6563932
13425,2007,Family,107.7740741,63.99123563,111.059327
13426,2006,Family,174.5333848,75.24394659,132.1746538
13427,2010,Family Modern City Romance,131.2828807,82.695552,152.2566553
13428,2005,Comedy Romance,184.8399383,75.53086346,96.03626461
13429,2010,War,111.9491461,54.45050284,93.58564343
13430,2010,Family,200.4100103,82.44594269,73.07710123
13431,2006,Family,141.0367387,59.85239301,135.3707933
13432,2011,Family,192.4168724,60.0065926,97.31084975
13433,2012,Comedy Modern City Family,174.9157716,62.72764923,66.87318044
13434,2014,Rural,193.2620062,61.07199459,54.94735096
13435,2013,Family,196.0325309,60.99187603,104.1369239
13436,2010,Comedy Modern City,148.2826646,75.51967413,114.8828636
13437,2014,Historical Legend,115.7670885,74.87554696,113.6094667
13438,2015,Modern City Romance,121.5161934,59.30034529,126.4606866
13439,2014,Inspiration Family Rural,168.4037551,60.04890922,77.19439205
13440,2015,Comedy Family Romance,147.7547428,80.81348441,97.830538
13441,2012,,,,
13442,2018,Rural,136.8185082,57.83067337,91.8968168
13443,2018,Rural,166.5041667,62.26252005,112.95372
13444,2018,War,121.3097222,65.9634029,118.2444735
13445,2018,Modern City,151.4803909,63.77677188,104.1915274
13446,2019,Family,158.3307099,45.75648106,67.79063048
13447,2022,Rural,195.1966255,42.86586579,49.77525188
13448,2015,Comedy Youth Idol,143.3509465,41.90768815,109.8364851
13449,2013,Comedy,148.7866255,67.55278173,114.34961
13450,2014,Ancient Costume Comedy Romance Inspiration,143.6874383,78.42002709,87.83603829
13451,2010,Youth Idol Romance,175.7850617,79.29075768,100.0347917
13452,2005,Romance,116.3230761,48.02523636,106.4308264
13453,2024,Ancient Costume Romance,113.044856,48.19591218,109.5013529
13454,2022,Modern City,106.1071502,48.61638734,74.03491854
13455,2016,Revolution War,49.47919753,60.59555729,99.69340766
13456,2003,Rural,175.6561728,87.83157454,100.487477
13457,2019,Modern City,173.0741975,53.07885225,113.4522051
13459,2000,Myth and Fantasy Ancient Costume,155.1523868,83.55575126,121.8411491
13461,2007,Documentary,85.03582305,62.26463115,123.2929459
13463,2009,Myth and Fantasy Ancient Costume,125.985144,39.19256991,94.2899238
13465,2007,Myth and Fantasy Ancient Costume Animation,105.3324486,62.28249357,102.9980701
13466,2010,Myth and Fantasy Animation Children,149.2315021,58.65455181,62.71735528
13467,2005,Animation Myth and Fantasy,116.2293621,74.27322091,133.8150826
13468,2023,Myth and Fantasy,92.08419753,65.69226399,114.1151919
13469,2013,Ancient Costume Romance,122.543786,65.847394,98.36607315
13470,2000,Romance Ancient Costume,,,
13471,2012,Military,,,
13472,2008,Youth Idol Romance,202.2484362,71.62164181,81.65054676
13473,2012,Historical Legend Ancient Costume Romance,80.77426955,69.1559028,70.81494477
13474,2011,Ancient Costume Myth and Fantasy,138.910216,51.59892208,140.2126167
13475,2015,,165.3894856,55.44811359,97.6214553
13476,2020,Modern City Romance,187.4581584,54.79440603,91.30603279
13477,2009,Historical Legend Ancient Costume,73.11209877,81.23115043,102.0552771
13478,2003,Romance,62.50526749,78.32466365,98.26365962
13479,2003,Romance Family,141.1430864,67.78223133,134.1007256
13480,2008,War Ancient Costume,69.69720165,59.69198063,101.549819
13481,2018,Romance Comedy Ancient Costume,115.1283025,74.45029447,149.5806596
13482,2018,Ancient Costume,165.512963,77.69352617,103.5096749
13483,2023,Romance Suspense,109.4779012,63.15771367,46.07944892
13484,2013,Documentary,79.27309671,62.05804114,58.31335672
13485,2021,Documentary,161.1572119,46.93910321,90.24142457
13486,2008,,128.1972428,78.77988521,109.4892573
13487,2005,,136.3192387,64.56562697,104.6396765
13488,2014,Crime,97.88356996,56.2468164,73.91768818
13489,2020,Revolution,128.7888066,63.39172038,101.9678458
13490,2023,Crime,94.76722222,60.01755292,79.90359224
13491,2009,Romance,71.25786008,79.97675878,97.85449617
13492,2009,Suspense,60.62156379,66.9728395,97.58055558
13493,2010,Spy Warfare Suspense,86.20369342,75.16390582,142.4155975
13494,2012,War,103.7422737,50.00062003,48.69711645
13495,2006,Spy Warfare,124.9469959,83.22074833,111.2700583
13496,2008,Romance,170.7779218,85.8826918,109.1958322
13497,2018,Revolution,,,
13498,2020,Suspense Comedy Romance,37.8175,38.66496293,66.34536634
13499,2005,Comedy,,,
13500,2008,Inspiration Youth Idol,141.4475412,76.21007695,138.2061808
13502,2013,Ancient Costume,126.8571296,66.76532183,128.6141642
13503,2016,Comedy Animation Children,107.0524177,67.15065703,118.1771964
13504,2004,,126.7304938,82.64018866,106.7617609
13506,2000,Ancient Costume,183.8310288,61.83219549,152.5965277
13507,2004,Crime,120.892716,71.60012797,95.83306771
13508,2012,Historical Legend Ancient Costume,132.5077058,72.80752475,142.8224875
13509,2003,Historical Legend Ancient Costume,109.9242181,58.36896053,112.3236851
13510,2000,Historical Legend Ancient Costume,122.6524897,60.1542501,90.50552775
13511,2010,Suspense Ancient Costume,98.57022634,71.22697452,131.1936237
13512,2010,Suspense Historical Legend Ancient Costume,113.7252058,78.65795844,71.64860727
13513,2002,Historical Legend Ancient Costume,95.41127572,55.40922551,99.70996355
13514,2007,Historical Legend Ancient Costume,113.6447737,61.68065263,108.7538777
13515,2006,Suspense Historical Legend Ancient Costume Action,89.6001749,80.2124121,143.9709726
13516,2003,Historical Legend Ancient Costume,112.499928,57.46040451,109.6290529
13517,2006,Historical Legend,138.8469753,55.23790465,91.12695826
13518,2008,Suspense Historical Legend Ancient Costume Action,115.5416564,64.82145432,114.8759634
13519,2004,Suspense Historical Legend Ancient Costume Action,107.0818724,84.49936813,170.9917808
13520,2009,Suspense Historical Legend Ancient Costume,86.31341564,63.70967442,127.6477505
13521,2001,Historical Legend Ancient Costume Suspense,73.20306584,55.29256064,91.1212735
13522,2002,Suspense Historical Legend Ancient Costume,103.3648765,83.61163118,149.601655
13523,2014,Historical Legend Ancient Costume Romance,162.3238992,63.43321669,112.5387383
13524,2017,Ancient Costume Suspense,88.10823045,54.01447312,94.43570332
13525,2015,Ancient Costume Suspense,100.0554835,68.43432899,149.9320802
13526,2018,Myth and Fantasy Ancient Costume,92.60736626,71.11592978,114.9494863
13527,2018,Time Travel Comedy Ancient Costume,81.68415638,51.22857693,98.0266811
13531,2013,Historical Legend Ancient Costume,63.42651235,47.94280362,49.63853524
13532,2018,Comedy,100.5478704,72.04344863,169.6084758
13533,2007,Action Comedy,128.3327984,67.04664004,133.3399462
13534,2000,Wuxia Ancient Costume,179.1286626,73.01603106,103.6832221
13535,2018,Documentary,185.9625,33.0180516,29.56334531
13536,2020,Ancient Costume,61.32881687,52.25478414,107.4721996
13537,2012,Suspense Ancient Costume,86.24346708,67.26397443,135.0379998
13538,2020,Comedy Wuxia Ancient Costume,85.65038066,60.33134025,98.00541441
13539,2016,Animation,104.2996811,66.95914051,74.83147219
13540,2018,Myth and Fantasy Ancient Costume,105.5180967,60.92213392,111.0717037
13541,2006,Wuxia Ancient Costume,160.3441564,61.68066118,119.0339713
13542,2021,Wuxia,114.1616358,74.48682469,128.8470913
13543,2015,Animation,115.3720988,69.45151326,123.3859102
13546,2009,Documentary,171.7988169,48.89948421,50.76716433
13547,2015,Comedy Ancient Costume,57.52924897,80.13790023,132.2348585
13548,2015,Ancient Costume Action Inspiration,134.90357,61.49295714,132.83365
13549,2015,Myth and Fantasy Ancient Costume,151.7567387,67.3996084,83.14756746
13550,2015,Ancient Costume Myth and Fantasy,46.62520576,45.20015981,59.89291201
13551,2015,Myth and Fantasy Ancient Costume,95.38592593,67.96341072,111.8711286
